n_friend_index,n_friend_name,n
1,K13n65,4
1,K13n65,5
4,K13n3897,4
4,K13n3897,5
5,K13n3936,4
5,K13n3936,5
6,K13n4582,4
6,K13n4582,5
8,K14n4425,4
8,K14n4425,5
9,K14n4621,4
9,K14n4621,5
10,K14n5486,4
10,K14n5486,5
12,K14n10011,4
12,K14n10011,5
14,K14n18909,4
14,K14n18909,5
16,K14n21673,4
16,K14n21673,5
17,K15n2810,4
17,K15n2810,5
24,K15n21905,4
24,K15n21905,5
27,K15n40402,4
27,K15n40402,5
28,K15n49735,4
28,K15n49735,5
31,K15n77799,4
31,K15n77799,5
33,K15n95989,4
33,K15n95989,5
34,K15n95995,4
34,K15n95995,5
36,K15n103703,4
36,K15n103703,5
42,K15n121834,4
42,K15n121834,5
46,K15n124496,4
46,K15n124496,5
47,K15n124640,4
47,K15n124640,5
48,K15n130504,4
48,K15n130504,5
51,K15n138033,4
51,K15n138033,5
54,K15n140449,4
54,K15n140449,5
56,K15n146982,4
56,K15n146982,5
58,K15n155464,4
58,K15n155464,5
59,K15n157903,4
59,K15n157903,5
61,16n12369,4
61,16n12369,5
66,16n58556,4
66,16n58556,5
70,16n68278,4
70,16n68278,5
71,16n74543,4
71,16n74543,5
73,16n74839,4
73,16n74839,5
74,16n78457,4
74,16n78457,5
75,16n81429,4
75,16n81429,5
76,16n82498,4
76,16n82498,5
79,16n107590,4
79,16n107590,5
81,16n111976,4
81,16n111976,5
84,16n132502,4
84,16n132502,5
88,16n144314,4
88,16n144314,5
89,16n145125,4
89,16n145125,5
91,16n153489,4
91,16n153489,5
92,16n156901,4
92,16n156901,5
93,16n170532,4
93,16n170532,5
95,16n180536,4
95,16n180536,5
105,16n225792,4
105,16n225792,5
106,16n247584,4
106,16n247584,5
110,16n257104,4
110,16n257104,5
111,16n266273,4
111,16n266273,5
112,16n282905,4
112,16n282905,5
116,16n297565,4
116,16n297565,5
117,16n299365,4
117,16n299365,5
120,16n312764,4
120,16n312764,5
121,16n323949,4
121,16n323949,5
122,16n324191,4
122,16n324191,5
125,16n357101,4
125,16n357101,5
131,16n429842,4
131,16n429842,5
133,16n481747,4
133,16n481747,5
134,16n493318,4
134,16n493318,5
135,16n503252,4
135,16n503252,5
138,16n540299,4
138,16n540299,5
139,16n547759,4
139,16n547759,5
140,16n550769,4
140,16n550769,5
141,16n615861,4
141,16n615861,5
143,16n634558,4
143,16n634558,5
144,16n634580,4
144,16n634580,5
145,16n658612,4
145,16n658612,5
146,16n661936,4
146,16n661936,5
148,16n697934,4
148,16n697934,5
150,16n698210,4
150,16n698210,5
151,16n698489,4
151,16n698489,5
155,16n736820,4
155,16n736820,5
159,16n740455,4
159,16n740455,5
160,16n740535,4
160,16n740535,5
161,16n741378,4
161,16n741378,5
164,16n745705,4
164,16n745705,5
166,16n748005,4
166,16n748005,5
168,16n748958,4
168,16n748958,5
171,16n752927,4
171,16n752927,5
182,16n778376,4
182,16n778376,5
184,16n780745,4
184,16n780745,5
186,16n787551,4
186,16n787551,5
188,16n801023,4
188,16n801023,5
190,16n804562,4
190,16n804562,5
193,16n828009,4
193,16n828009,5
198,16n842311,4
198,16n842311,5
200,16n872262,4
200,16n872262,5
203,16n889676,4
203,16n889676,5
207,16n912996,4
207,16n912996,5
210,16n955104,4
210,16n955104,5
215,17nh_0004389,4
215,17nh_0004389,5
216,17nh_0005136,4
216,17nh_0005136,5
217,17nh_0007253,4
217,17nh_0007253,5
219,17nh_0008930,4
219,17nh_0008930,5
220,17nh_0009552,4
220,17nh_0009552,5
221,17nh_0010647,4
221,17nh_0010647,5
222,17nh_0013937,4
222,17nh_0013937,5
225,17nh_0023493,4
225,17nh_0023493,5
226,17nh_0024597,4
226,17nh_0024597,5
230,17nh_0041075,4
230,17nh_0041075,5
231,17nh_0048459,4
231,17nh_0048459,5
233,17nh_0061594,4
233,17nh_0061594,5
236,17nh_0069460,4
236,17nh_0069460,5
240,17nh_0078116,4
240,17nh_0078116,5
241,17nh_0083155,4
241,17nh_0083155,5
243,17nh_0088648,4
243,17nh_0088648,5
248,17nh_0106188,4
248,17nh_0106188,5
249,17nh_0106189,4
249,17nh_0106189,5
250,17nh_0108986,4
250,17nh_0108986,5
251,17nh_0112628,4
251,17nh_0112628,5
253,17nh_0140402,4
253,17nh_0140402,5
254,17nh_0142095,4
254,17nh_0142095,5
